ano;ra;id_curso;id_disciplina;nome_disciplina;bim1;bim2;bim3;bim4;media;situacao;nome_aluno;nome_curso
2026;20260009;C004;D016;Contabilidade;7.5;9.0;3.0;3.8;5.8;REPROVADO;Ryu Maximus;Administracao
2026;20260009;C004;D017;Gestao de Pessoas;7.2;2.6;2.6;5.1;4.4;REPROVADO;Ryu Maximus;Administracao
2026;20260009;C004;D018;Marketing;2.6;9.0;10.0;1.3;5.7;REPROVADO;Ryu Maximus;Administracao
2026;20260009;C004;D019;Financas;6.5;6.7;2.0;9.1;6.1;APROVADO;Ryu Maximus;Administracao
2026;20260009;C004;D020;Economia;3.7;4.7;3.7;0.8;3.2;REPROVADO;Ryu Maximus;Administracao
2026;20260010;C001;D001;Algoritmos I;7.3;6.8;9.0;7.6;7.7;APROVADO;Pikachu Frost;Analise de Sistemas
2026;20260010;C001;D002;Banco de Dados I;4.6;2.0;6.3;0.7;3.4;REPROVADO;Pikachu Frost;Analise de Sistemas
2026;20260010;C001;D003;Python para Dados;2.7;2.1;4.9;5.4;3.8;REPROVADO;Pikachu Frost;Analise de Sistemas
2026;20260010;C001;D004;Engenharia de Software;2.7;1.5;4.3;8.2;4.2;REPROVADO;Pikachu Frost;Analise de Sistemas
2026;20260010;C001;D005;SQL e Otimizacao;5.6;6.4;2.8;9.6;6.1;APROVADO;Pikachu Frost;Analise de Sistemas
2026;20260011;C003;D011;Resistencia dos Materiais;4.8;3.7;9.9;4.7;5.8;REPROVADO;Samus Ember;Engenharia Civil
2026;20260011;C003;D012;Materiais de Construcao;1.5;8.1;9.8;3.6;5.8;REPROVADO;Samus Ember;Engenharia Civil
2026;20260011;C003;D013;Topografia;2.6;2.9;;;;SEM_NOTAS;Samus Ember;Engenharia Civil
2026;20260011;C003;D014;Estruturas I;2.9;4.1;;;;SEM_NOTAS;Samus Ember;Engenharia Civil
2026;20260011;C003;D015;Hidraulica;0.7;9.2;;;;SEM_NOTAS;Samus Ember;Engenharia Civil
2026;20260012;C001;D001;Algoritmos I;3.2;0.7;9.3;2.6;4.0;REPROVADO;Aloy Raven;Analise de Sistemas
2026;20260012;C001;D002;Banco de Dados I;7.7;4.7;8.0;7.1;6.9;APROVADO;Aloy Raven;Analise de Sistemas
2026;20260012;C001;D003;Python para Dados;3.6;9.7;4.1;4.8;5.5;REPROVADO;Aloy Raven;Analise de Sistemas
2026;20260012;C001;D004;Engenharia de Software;8.5;3.3;6.6;7.0;6.3;APROVADO;Aloy Raven;Analise de Sistemas
2026;20260012;C001;D005;SQL e Otimizacao;8.7;0.2;9.4;5.3;5.9;REPROVADO;Aloy Raven;Analise de Sistemas
2026;20260013;C003;D011;Resistencia dos Materiais;6.4;8.6;6.8;2.7;6.1;APROVADO;Peter Phoenix;Engenharia Civil
2026;20260013;C003;D012;Materiais de Construcao;8.7;0.9;8.3;6.0;6.0;APROVADO;Peter Phoenix;Engenharia Civil
2026;20260013;C003;D013;Topografia;0.1;8.5;3.0;4.0;3.9;REPROVADO;Peter Phoenix;Engenharia Civil
2026;20260013;C003;D014;Estruturas I;4.4;9.8;8.0;1.0;5.8;REPROVADO;Peter Phoenix;Engenharia Civil
2026;20260013;C003;D015;Hidraulica;6.8;5.7;6.4;1.2;5.0;REPROVADO;Peter Phoenix;Engenharia Civil
2026;20260014;C005;D021;Direito Civil;1.5;2.9;;;;SEM_NOTAS;Guilmon Banner;Direito
2026;20260014;C005;D022;Direito Penal;3.5;0.5;2.7;;;SEM_NOTAS;Guilmon Banner;Direito
2026;20260014;C005;D023;Direito Constitucional;4.8;2.5;1.7;2.6;2.9;REPROVADO;Guilmon Banner;Direito
2026;20260014;C005;D024;Processo Civil;9.7;6.2;7.5;;;SEM_NOTAS;Guilmon Banner;Direito
2026;20260014;C005;D025;Direito do Trabalho;1.7;7.9;8.9;3.8;5.6;REPROVADO;Guilmon Banner;Direito
2026;20260015;C002;D006;Estatistica Aplicada;1.7;9.3;1.1;4.8;4.2;REPROVADO;Jolteon Frost;Engenharia de Producao
2026;20260015;C002;D007;Processos Industriais;4.5;6.6;4.3;9.0;6.1;APROVADO;Jolteon Frost;Engenharia de Producao
2026;20260015;C002;D008;Pesquisa Operacional;3.5;1.7;6.3;5.5;4.2;REPROVADO;Jolteon Frost;Engenharia de Producao
2026;20260015;C002;D009;Gestao da Qualidade;6.3;1.5;2.1;2.1;3.0;REPROVADO;Jolteon Frost;Engenharia de Producao
2026;20260015;C002;D010;Planejamento e Controle;3.2;5.4;2.8;2.8;3.6;REPROVADO;Jolteon Frost;Engenharia de Producao
2026;20260016;C003;D011;Resistencia dos Materiais;7.9;5.2;8.8;8.7;7.7;APROVADO;Arthur Odinson;Engenharia Civil
2026;20260016;C003;D012;Materiais de Construcao;2.8;8.9;7.4;1.0;5.0;REPROVADO;Arthur Odinson;Engenharia Civil
2026;20260016;C003;D013;Topografia;7.9;5.5;3.0;2.1;4.6;REPROVADO;Arthur Odinson;Engenharia Civil
2026;20260016;C003;D014;Estruturas I;4.0;4.1;2.0;1.8;3.0;REPROVADO;Arthur Odinson;Engenharia Civil
2026;20260016;C003;D015;Hidraulica;6.2;8.6;7.3;7.6;7.4;APROVADO;Arthur Odinson;Engenharia Civil
2026;20260017;C003;D011;Resistencia dos Materiais;7.8;;;;;SEM_NOTAS;Renamon Storm;Engenharia Civil
2026;20260017;C003;D012;Materiais de Construcao;2.5;8.4;;;;SEM_NOTAS;Renamon Storm;Engenharia Civil
2026;20260017;C003;D013;Topografia;5.5;9.5;2.6;;;SEM_NOTAS;Renamon Storm;Engenharia Civil
2026;20260017;C003;D014;Estruturas I;5.8;9.1;8.4;7.0;7.6;APROVADO;Renamon Storm;Engenharia Civil
2026;20260017;C003;D015;Hidraulica;8.7;5.1;8.7;9.3;8.0;APROVADO;Renamon Storm;Engenharia Civil
2026;20260018;C004;D016;Contabilidade;6.5;2.8;1.5;1.3;3.0;REPROVADO;Loki Maximus;Administracao
2026;20260018;C004;D017;Gestao de Pessoas;3.9;5.7;4.6;0.9;3.8;REPROVADO;Loki Maximus;Administracao
2026;20260018;C004;D018;Marketing;6.3;6.8;5.7;4.4;5.8;REPROVADO;Loki Maximus;Administracao
2026;20260018;C004;D019;Financas;3.5;0.6;0.3;2.8;1.8;REPROVADO;Loki Maximus;Administracao
2026;20260018;C004;D020;Economia;3.2;8.6;2.9;8.0;5.7;REPROVADO;Loki Maximus;Administracao
2026;20260019;C003;D011;Resistencia dos Materiais;0.9;2.4;6.7;0.1;2.5;REPROVADO;Logan Grayson;Engenharia Civil
2026;20260019;C003;D012;Materiais de Construcao;4.5;4.2;5.5;1.9;4.0;REPROVADO;Logan Grayson;Engenharia Civil
2026;20260019;C003;D013;Topografia;3.6;0.6;9.9;6.0;5.0;REPROVADO;Logan Grayson;Engenharia Civil
2026;20260019;C003;D014;Estruturas I;4.8;9.9;1.3;3.1;4.8;REPROVADO;Logan Grayson;Engenharia Civil
2026;20260019;C003;D015;Hidraulica;3.2;1.5;7.3;5.8;4.5;REPROVADO;Logan Grayson;Engenharia Civil
2026;20260020;C004;D016;Contabilidade;1.1;1.2;7.5;2.1;3.0;REPROVADO;Monzaemon Frost;Administracao
2026;20260020;C004;D017;Gestao de Pessoas;2.3;3.7;1.7;6.4;3.5;REPROVADO;Monzaemon Frost;Administracao
2026;20260020;C004;D018;Marketing;3.1;4.3;8.6;2.0;4.5;REPROVADO;Monzaemon Frost;Administracao
2026;20260020;C004;D019;Financas;1.1;3.6;8.3;6.7;4.9;REPROVADO;Monzaemon Frost;Administracao
2026;20260020;C004;D020;Economia;4.1;2.6;7.1;3.9;4.4;REPROVADO;Monzaemon Frost;Administracao
2026;20260021;C004;D016;Contabilidade;1.1;7.8;9.1;2.5;5.1;REPROVADO;Barry Odinson;Administracao
2026;20260021;C004;D017;Gestao de Pessoas;8.4;1.4;9.2;4.3;5.8;REPROVADO;Barry Odinson;Administracao
2026;20260021;C004;D018;Marketing;2.5;8.4;9.2;4.1;6.1;APROVADO;Barry Odinson;Administracao
2026;20260021;C004;D019;Financas;5.1;5.8;1.9;9.3;5.5;REPROVADO;Barry Odinson;Administracao
2026;20260021;C004;D020;Economia;6.1;4.8;2.5;9.3;5.7;REPROVADO;Barry Odinson;Administracao
2026;20260022;C002;D006;Estatistica Aplicada;5.1;3.2;0.4;7.4;4.0;REPROVADO;Peter Valerian;Engenharia de Producao
2026;20260022;C002;D007;Processos Industriais;4.4;5.7;7.0;1.7;4.7;REPROVADO;Peter Valerian;Engenharia de Producao
2026;20260022;C002;D008;Pesquisa Operacional;5.7;8.3;3.2;7.6;6.2;APROVADO;Peter Valerian;Engenharia de Producao
2026;20260022;C002;D009;Gestao da Qualidade;3.2;1.8;9.8;9.3;6.0;APROVADO;Peter Valerian;Engenharia de Producao
2026;20260022;C002;D010;Planejamento e Controle;1.7;7.8;6.5;2.2;4.5;REPROVADO;Peter Valerian;Engenharia de Producao
2026;20260023;C001;D001;Algoritmos I;7.5;7.6;6.9;3.8;6.5;APROVADO;Gyarados Parker;Analise de Sistemas
2026;20260023;C001;D002;Banco de Dados I;2.5;6.8;3.9;9.1;5.6;REPROVADO;Gyarados Parker;Analise de Sistemas
2026;20260023;C001;D003;Python para Dados;7.6;2.2;4.8;8.4;5.8;REPROVADO;Gyarados Parker;Analise de Sistemas
2026;20260023;C001;D004;Engenharia de Software;6.6;3.6;9.7;0.1;5.0;REPROVADO;Gyarados Parker;Analise de Sistemas
2026;20260023;C001;D005;SQL e Otimizacao;0.8;1.5;8.4;2.0;3.2;REPROVADO;Gyarados Parker;Analise de Sistemas
2026;20260024;C004;D016;Contabilidade;3.4;3.9;0.4;3.0;2.7;REPROVADO;Legolas Echo;Administracao
2026;20260024;C004;D017;Gestao de Pessoas;7.1;1.1;7.9;8.6;6.2;APROVADO;Legolas Echo;Administracao
2026;20260024;C004;D018;Marketing;9.7;0.8;0.7;1.4;3.1;REPROVADO;Legolas Echo;Administracao
2026;20260024;C004;D019;Financas;4.6;2.6;6.4;7.7;5.3;REPROVADO;Legolas Echo;Administracao
2026;20260024;C004;D020;Economia;7.8;7.5;0.9;3.2;4.8;REPROVADO;Legolas Echo;Administracao
2026;20260025;C003;D011;Resistencia dos Materiais;1.9;0.8;2.8;9.9;3.9;REPROVADO;Jigglypuff Wayne;Engenharia Civil
2026;20260025;C003;D012;Materiais de Construcao;0.1;5.7;6.3;2.5;3.6;REPROVADO;Jigglypuff Wayne;Engenharia Civil
2026;20260025;C003;D013;Topografia;1.5;4.6;5.5;0.0;2.9;REPROVADO;Jigglypuff Wayne;Engenharia Civil
2026;20260025;C003;D014;Estruturas I;2.3;8.7;5.4;4.0;5.1;REPROVADO;Jigglypuff Wayne;Engenharia Civil
2026;20260025;C003;D015;Hidraulica;7.1;5.4;6.0;1.0;4.9;REPROVADO;Jigglypuff Wayne;Engenharia Civil
2026;20260026;C003;D011;Resistencia dos Materiais;3.1;8.0;7.8;7.3;6.5;APROVADO;Yennefer Odinson;Engenharia Civil
2026;20260026;C003;D012;Materiais de Construcao;0.3;0.9;3.0;2.6;1.7;REPROVADO;Yennefer Odinson;Engenharia Civil
2026;20260026;C003;D013;Topografia;2.0;1.7;3.2;9.2;4.0;REPROVADO;Yennefer Odinson;Engenharia Civil
2026;20260026;C003;D014;Estruturas I;0.6;9.9;8.7;6.7;6.5;APROVADO;Yennefer Odinson;Engenharia Civil
2026;20260026;C003;D015;Hidraulica;9.7;8.7;6.2;9.2;8.4;APROVADO;Yennefer Odinson;Engenharia Civil
2026;20260027;C002;D006;Estatistica Aplicada;9.7;2.7;1.2;3.3;4.2;REPROVADO;Steve Dawn;Engenharia de Producao
2026;20260027;C002;D007;Processos Industriais;7.6;7.2;4.6;9.0;7.1;APROVADO;Steve Dawn;Engenharia de Producao
2026;20260027;C002;D008;Pesquisa Operacional;6.8;7.2;1.3;1.8;4.3;REPROVADO;Steve Dawn;Engenharia de Producao
2026;20260027;C002;D009;Gestao da Qualidade;0.5;3.4;5.9;2.5;3.1;REPROVADO;Steve Dawn;Engenharia de Producao
2026;20260027;C002;D010;Planejamento e Controle;6.8;7.5;0.2;0.9;3.9;REPROVADO;Steve Dawn;Engenharia de Producao
2026;20260028;C002;D006;Estatistica Aplicada;9.8;6.8;4.5;7.8;7.2;APROVADO;Luke Kenobi;Engenharia de Producao
2026;20260028;C002;D007;Processos Industriais;1.7;5.8;3.8;7.3;4.7;REPROVADO;Luke Kenobi;Engenharia de Producao
2026;20260028;C002;D008;Pesquisa Operacional;1.7;7.0;4.4;3.1;4.0;REPROVADO;Luke Kenobi;Engenharia de Producao
2026;20260028;C002;D009;Gestao da Qualidade;0.5;4.9;0.5;2.3;2.0;REPROVADO;Luke Kenobi;Engenharia de Producao
2026;20260028;C002;D010;Planejamento e Controle;0.1;1.6;4.3;9.0;3.8;REPROVADO;Luke Kenobi;Engenharia de Producao
2026;20260029;C001;D001;Algoritmos I;3.0;3.9;6.9;8.1;5.5;REPROVADO;Renamon Dawn;Analise de Sistemas
2026;20260029;C001;D002;Banco de Dados I;5.5;5.6;1.0;5.1;4.3;REPROVADO;Renamon Dawn;Analise de Sistemas
2026;20260029;C001;D003;Python para Dados;8.7;0.7;8.4;7.4;6.3;APROVADO;Renamon Dawn;Analise de Sistemas
2026;20260029;C001;D004;Engenharia de Software;9.3;7.9;3.9;7.0;7.0;APROVADO;Renamon Dawn;Analise de Sistemas
2026;20260029;C001;D005;SQL e Otimizacao;9.9;0.7;5.9;8.2;6.2;APROVADO;Renamon Dawn;Analise de Sistemas
2026;20260030;C003;D011;Resistencia dos Materiais;0.1;6.0;5.9;2.9;3.7;REPROVADO;Guilmon Phoenix;Engenharia Civil
2026;20260030;C003;D012;Materiais de Construcao;1.1;6.3;0.2;3.3;2.7;REPROVADO;Guilmon Phoenix;Engenharia Civil
2026;20260030;C003;D013;Topografia;4.8;7.1;0.3;6.8;4.8;REPROVADO;Guilmon Phoenix;Engenharia Civil
2026;20260030;C003;D014;Estruturas I;3.4;1.9;2.9;5.4;3.4;REPROVADO;Guilmon Phoenix;Engenharia Civil
2026;20260030;C003;D015;Hidraulica;1.4;3.0;6.1;4.2;3.7;REPROVADO;Guilmon Phoenix;Engenharia Civil
2026;20260031;C005;D021;Direito Civil;9.9;1.7;1.4;2.4;3.9;REPROVADO;Snorlax Valerian;Direito
2026;20260031;C005;D022;Direito Penal;0.2;0.1;7.3;9.6;4.3;REPROVADO;Snorlax Valerian;Direito
2026;20260031;C005;D023;Direito Constitucional;4.1;4.9;9.6;6.0;6.2;APROVADO;Snorlax Valerian;Direito
2026;20260031;C005;D024;Processo Civil;2.8;2.7;9.7;6.1;5.3;REPROVADO;Snorlax Valerian;Direito
2026;20260031;C005;D025;Direito do Trabalho;4.0;3.8;3.2;8.5;4.9;REPROVADO;Snorlax Valerian;Direito
2026;20260032;C003;D011;Resistencia dos Materiais;6.9;9.7;8.8;2.8;7.1;APROVADO;Lapras Night;Engenharia Civil
2026;20260032;C003;D012;Materiais de Construcao;2.1;2.9;4.2;2.8;3.0;REPROVADO;Lapras Night;Engenharia Civil
2026;20260032;C003;D013;Topografia;5.1;1.9;5.8;4.0;4.2;REPROVADO;Lapras Night;Engenharia Civil
2026;20260032;C003;D014;Estruturas I;4.3;6.1;6.0;1.5;4.5;REPROVADO;Lapras Night;Engenharia Civil
2026;20260032;C003;D015;Hidraulica;3.0;0.9;3.7;3.6;2.8;REPROVADO;Lapras Night;Engenharia Civil
2026;20260033;C004;D016;Contabilidade;9.4;1.2;5.2;5.7;5.4;REPROVADO;Wanda Dawn;Administracao
2026;20260033;C004;D017;Gestao de Pessoas;8.3;9.9;2.3;4.0;6.1;APROVADO;Wanda Dawn;Administracao
2026;20260033;C004;D018;Marketing;8.4;2.1;3.6;1.4;3.9;REPROVADO;Wanda Dawn;Administracao
2026;20260033;C004;D019;Financas;5.6;6.3;4.1;9.1;6.3;APROVADO;Wanda Dawn;Administracao
2026;20260033;C004;D020;Economia;5.3;6.1;1.5;7.4;5.1;REPROVADO;Wanda Dawn;Administracao
2026;20260034;C001;D001;Algoritmos I;4.2;3.2;6.9;9.1;5.8;REPROVADO;Samus Raven;Analise de Sistemas
2026;20260034;C001;D002;Banco de Dados I;3.1;9.5;3.6;;;SEM_NOTAS;Samus Raven;Analise de Sistemas
2026;20260034;C001;D003;Python para Dados;5.2;8.7;3.9;1.6;4.8;REPROVADO;Samus Raven;Analise de Sistemas
2026;20260034;C001;D004;Engenharia de Software;5.5;;;;;SEM_NOTAS;Samus Raven;Analise de Sistemas
2026;20260034;C001;D005;SQL e Otimizacao;1.5;10.0;5.6;6.9;6.0;APROVADO;Samus Raven;Analise de Sistemas
2026;20260035;C004;D016;Contabilidade;2.1;5.8;5.1;2.0;3.8;REPROVADO;Bruce Grayson;Administracao
2026;20260035;C004;D017;Gestao de Pessoas;5.8;2.7;8.8;4.6;5.5;REPROVADO;Bruce Grayson;Administracao
2026;20260035;C004;D018;Marketing;5.7;6.9;9.1;5.0;6.7;APROVADO;Bruce Grayson;Administracao
2026;20260035;C004;D019;Financas;1.7;0.9;4.0;6.0;3.1;REPROVADO;Bruce Grayson;Administracao
2026;20260035;C004;D020;Economia;4.0;2.2;9.2;6.4;5.4;REPROVADO;Bruce Grayson;Administracao
2026;20260036;C002;D006;Estatistica Aplicada;1.1;2.2;4.1;4.0;2.9;REPROVADO;Gyarados Kent;Engenharia de Producao
2026;20260036;C002;D007;Processos Industriais;8.1;6.7;6.6;1.2;5.6;REPROVADO;Gyarados Kent;Engenharia de Producao
2026;20260036;C002;D008;Pesquisa Operacional;6.2;1.1;4.7;2.8;3.7;REPROVADO;Gyarados Kent;Engenharia de Producao
2026;20260036;C002;D009;Gestao da Qualidade;4.1;6.2;1.2;6.7;4.5;REPROVADO;Gyarados Kent;Engenharia de Producao
2026;20260036;C002;D010;Planejamento e Controle;3.7;5.3;4.7;6.0;4.9;REPROVADO;Gyarados Kent;Engenharia de Producao
2026;20260037;C004;D016;Contabilidade;2.0;6.4;3.9;9.3;5.4;REPROVADO;Hulk Phoenix;Administracao
2026;20260037;C004;D017;Gestao de Pessoas;2.2;4.6;5.1;4.0;4.0;REPROVADO;Hulk Phoenix;Administracao
2026;20260037;C004;D018;Marketing;0.1;3.6;4.7;7.2;3.9;REPROVADO;Hulk Phoenix;Administracao
2026;20260037;C004;D019;Financas;2.5;9.5;3.9;4.9;5.2;REPROVADO;Hulk Phoenix;Administracao
2026;20260037;C004;D020;Economia;1.6;4.1;5.2;9.6;5.1;REPROVADO;Hulk Phoenix;Administracao
2026;20260038;C002;D006;Estatistica Aplicada;;;;;;SEM_NOTAS;Psyduck Maximus;Engenharia de Producao
2026;20260038;C002;D007;Processos Industriais;;;;;;SEM_NOTAS;Psyduck Maximus;Engenharia de Producao
2026;20260038;C002;D008;Pesquisa Operacional;;;;;;SEM_NOTAS;Psyduck Maximus;Engenharia de Producao
2026;20260038;C002;D009;Gestao da Qualidade;;;;;;SEM_NOTAS;Psyduck Maximus;Engenharia de Producao
2026;20260038;C002;D010;Planejamento e Controle;;;;;;SEM_NOTAS;Psyduck Maximus;Engenharia de Producao
2026;20260039;C004;D016;Contabilidade;9.4;5.9;3.9;4.7;6.0;APROVADO;Wormmon Valerian;Administracao
2026;20260039;C004;D017;Gestao de Pessoas;0.2;2.8;0.5;8.8;3.1;REPROVADO;Wormmon Valerian;Administracao
2026;20260039;C004;D018;Marketing;3.7;2.5;8.7;1.7;4.1;REPROVADO;Wormmon Valerian;Administracao
2026;20260039;C004;D019;Financas;7.9;1.9;6.5;0.1;4.1;REPROVADO;Wormmon Valerian;Administracao
2026;20260039;C004;D020;Economia;4.3;5.4;3.2;5.9;4.7;REPROVADO;Wormmon Valerian;Administracao
2026;20260040;C001;D001;Algoritmos I;;;;;;SEM_NOTAS;Frodo Blade;Analise de Sistemas
2026;20260040;C001;D002;Banco de Dados I;;;;;;SEM_NOTAS;Frodo Blade;Analise de Sistemas
2026;20260040;C001;D003;Python para Dados;;;;;;SEM_NOTAS;Frodo Blade;Analise de Sistemas
2026;20260040;C001;D004;Engenharia de Software;5.8;4.2;0.0;7.5;4.4;REPROVADO;Frodo Blade;Analise de Sistemas
2026;20260040;C001;D005;SQL e Otimizacao;8.5;4.9;9.5;5.5;7.1;APROVADO;Frodo Blade;Analise de Sistemas
2026;20260041;C004;D016;Contabilidade;9.6;2.8;9.2;5.8;6.8;APROVADO;Ezio Storm;Administracao
2026;20260041;C004;D017;Gestao de Pessoas;0.1;7.9;8.2;8.6;6.2;APROVADO;Ezio Storm;Administracao
2026;20260041;C004;D018;Marketing;8.8;2.0;9.9;7.4;7.0;APROVADO;Ezio Storm;Administracao
2026;20260041;C004;D019;Financas;5.5;2.9;9.2;7.6;6.3;APROVADO;Ezio Storm;Administracao
2026;20260041;C004;D020;Economia;0.0;1.9;3.1;1.4;1.6;REPROVADO;Ezio Storm;Administracao
2026;20260042;C002;D006;Estatistica Aplicada;0.5;4.7;1.0;3.9;2.5;REPROVADO;Aragorn Kenobi;Engenharia de Producao
2026;20260042;C002;D007;Processos Industriais;0.9;5.7;9.1;8.4;6.0;APROVADO;Aragorn Kenobi;Engenharia de Producao
2026;20260042;C002;D008;Pesquisa Operacional;3.2;2.0;7.0;0.9;3.3;REPROVADO;Aragorn Kenobi;Engenharia de Producao
2026;20260042;C002;D009;Gestao da Qualidade;0.2;3.0;4.9;2.4;2.6;REPROVADO;Aragorn Kenobi;Engenharia de Producao
2026;20260042;C002;D010;Planejamento e Controle;2.3;0.7;8.5;6.4;4.5;REPROVADO;Aragorn Kenobi;Engenharia de Producao
2026;20260043;C004;D016;Contabilidade;1.9;3.6;3.7;4.9;3.5;REPROVADO;Agumon Frost;Administracao
2026;20260043;C004;D017;Gestao de Pessoas;8.5;8.3;7.3;6.3;7.6;APROVADO;Agumon Frost;Administracao
2026;20260043;C004;D018;Marketing;9.0;5.6;8.1;4.5;6.8;APROVADO;Agumon Frost;Administracao
2026;20260043;C004;D019;Financas;2.1;9.0;9.2;2.6;5.7;REPROVADO;Agumon Frost;Administracao
2026;20260043;C004;D020;Economia;8.6;8.0;1.1;0.1;4.5;REPROVADO;Agumon Frost;Administracao
2026;20260044;C005;D021;Direito Civil;7.2;2.8;9.5;9.1;7.2;APROVADO;Gengar Storm;Direito
